County,Organisation,Project Title,Amount Sought,Organisation Type,Sport Type
Offaly,St Joseph's Boxing Club,St. Joseph's Boxing Club Edenderry Equipment Grant,"€12,715",Sports Club,Boxing
Offaly,St Joseph's Hall Sports Committee,Astro Turf Replacement,"€21,043",Community Group,Multi-sport
Offaly,St Mary's Boxing Club Daingean,Equipment for Boxing Club,"€13,000",Sports Club,Boxing
Offaly,St Marys Secondary School Edenderry,Development of Playing Field Facilities,"€92,133",School (primary or second level),Multi-sport
Offaly,St Mary's Youth & Community Centre,St. Mary's Youth Centre Ltd.,"€16,000",Community Group,Multi-sport
Offaly,St Vincents Juvenile Gaelic Football Club,Fitness Equipment for our club,"€9,000",Sports Club,Gaelic Football
Offaly,Tullamore Basketball Club,Non-personal sports equipment for training & games,"€10,720",Sports Club,Basketball
Offaly,Tullamore Harriers Athletic Club,Portable Chip Timing System,"€7,119",Sports Stadium,Athletics
Offaly,Tullamore Pitch and Putt Club,upgrading of existing on course steps and tee bx,"€24,055",Sports Club,Pitch and Putt
Offaly,Tullamore Rugby Football Club,Building Upgrade - Tullamore Rugby Football Club,"€18,000",Sports Club,Rugby
Offaly,Tullamore Tennis Club,Tullamore Tennis Club courts refurbishment,"€56,000",Sports Club,Tennis
Offaly,Tullamore Town Football Club,Replacement Of All-Weather Goalposts,"€9,418",Sports Club,Soccer
Offaly,Walsh Island GAA Club,Extension to hall and equipment purchase,"€58,335",Sports Club,Gaelic Football
Roscommon,Athleague Hurling Club,Hurling/Handball Wall,"€27,900",Sports Club,Hurling
Roscommon,Athlone Golf Club,Essential Course Maintenance Equipment.,"€135,137",Sports Club,Golf
Roscommon,Athlone Gymnastics Club,Sprung Floor,"€21,344",Sports Club,Gymnastics
Roscommon,Ballaghaderreen boxing club,Essential Gym Equipment required.,"€14,205",Sports Club,Boxing
Roscommon,Ballaghaderreen Community Park Ltd,Floodlighting at Ballaghaderreen Community Park,"€99,835",Community Group,Soccer
Roscommon,Ballaghaderreen GAA Club,Ballaghaderreen GAA Astroturf Facility,"€150,000",Sports Club,Gaelic Games
Roscommon,Ballaghaderreen Golf Club,Greens Mower & Compact Utility Tractor,"€62,810",Sports Club,Golf
Roscommon,Ballinameen Gaa,New Dressing Rooms and Meeting Area,"€130,000",Sports Club,Gaelic Football
Roscommon,"CAM COMMUNITY AND SPORTS CENTRE
LTD",Refurbishment of Playing Facility.,"€90,000",Sports Centre,Soccer
Roscommon,Carrick on Shannon Golf Club,Carrick On Shannon Golf Club Development,"€137,921",Sports Club,Golf
Roscommon,Castlerea Boxing Club,Castlerea Boxing Club Equipment Grant Proposal,"€23,000",Sports Club,Boxing
Roscommon,Castlerea Celtic FC,main pitch drainage upgrade,"€37,597",Sports Club,Soccer
Roscommon,Castlerea St Kevins GAA Club,"""Dressing Rooms, showers and toilets""","€125,000",Sports Club,Gaelic Football
Roscommon,Clonown Community Ltd,Clonown Community Club house and Lawn Mower,"€86,583",Community Group,Athletics
Roscommon,"Cloonbonniffe Community Council Commitee
Ltd",Cloonbonniffe Community Council Committee Ltd. 2,"€33,759",Community Group,Gaelic Football
Roscommon,Dysart FC,Lighting for walkway & training pitch,"€8,307",Sports Club,Soccer
Roscommon,Eire Og GAA Club,Flood Lights & Ball Stop Nets on Training Field,"€37,094",Sports Club,Gaelic Football
Roscommon,Elphin Boxing Club,Elphin Boxing Club - Equipment Grant,"€19,000",Sports Club,Boxing
Roscommon,Elphin GAA Club,Defibrillator and Mower,"€18,000",Sports Club,Gaelic Games
Roscommon,Elphin Resource Centre Ltd,Redevelopment of Bishop Hudson Grammar School Site,"€150,000",Community Group,Soccer
Roscommon,"Falty Park Moore Soccer Club Company
Limited by Gaurantee",New pitch development and new walking track,"€99,719",Sports Club,Soccer
Roscommon,Fuerty Castlecoote Development Association,Facilitate development of Badminton Club,"€8,663",Community Group,Multi-sport
Roscommon,Keadue Sportsfield,All weather Multi Use Games Area,"€25,000",Community Group,Multi-sport
Roscommon,"Kilbride Community Centre Company Limited
by Guarantee",Astro sport pitch with fencing & floodlights,"€79,552",Community Group,Multi-sport
Roscommon,Kilbride GAA Club,Kilbride GAA Gymnasium,"€105,340",Sports Club,Gaelic Games
Roscommon,Kilmore GAA,Sports Equipment,"€32,655",Sports Club,Gaelic Games
Roscommon,Kiltrustan Sports Club,Kiltrustan Sports Club Re-Development,"€52,000",Sports Club,Athletics
Roscommon,Lisnamult Residents Association Ltd,Dressing Room/Toilets/ at Community Sports Park,"€142,000",Community Group,Soccer
Roscommon,Lough Harps FC,Drain and re surface playing pitch,"€28,366",Sports Club,Soccer
Roscommon,Lough Ree Bay Tennis Club,Lough Ree Bay Tennis Club - Phase 1,€388,Sports Club,Tennis
Roscommon,loughglynnboxingclub,Gym Equipment,"€11,458",Sports Club,Boxing
Roscommon,Michael Glaveys GAA Club,Provision of Dugouts & Electronic Scoreboard,"€13,300",Sports Club,Gaelic Games
Roscommon,Oran GAA,Lighting our walkway & Erecting a Hurling Wall,"€45,000",Sports Club,Gaelic Games
Roscommon,Padraig Pearses GAA Club,Multi-faceted Community Sport Facility Development,"€150,000",Sports Club,Gaelic Games
Roscommon,Riverside Boxing Club,Purchase of equipment,"€19,000",Sports Club,Boxing
Roscommon,Roscommon County Board GAA,Dermott Early Centre Of Excellence,"€200,000",Sports Club,Gaelic Games
Roscommon,Roscommon County Council,Boyle to Lough Key Greenway,"€150,000",Local Authority,Multi-sport
Roscommon,Roscommon Golf Club,Purchase of mower & practice ground upgrade,"€49,337",Sports Club,Golf
Roscommon,Roscommon Sports Partnership,Roscommon Sports Partnership Cycling For All,"€2,000",Local Sports Partnership,Multi-sport
Roscommon,Roscommon Sub Aqua Club,Diving sports equipment,"€123,424",Sports Club,Diving/Snorkelling
Roscommon,Shannon Geals GAA Club,UPGRADING EXISTING PLAYING FACILITY,"€150,000",Sports Club,Gaelic Football
Roscommon,Skyvalley Rovers,Skyvalley Rovers Football Pitch Flood Lights,"€90,000",Sports Club,Soccer
Roscommon,St Aidans GAA Football Club,"Upgrade walking track, dressing rooms & clubhouse","€40,170",Sports Club,Gaelic Games
Roscommon,St Barry's GAA,Community Walkway/Jogging track and Flood lights,"€60,000",Sports Club,Gaelic Games
Roscommon,St Brigids Gaa,Construction of GymnasiumFloodlighting Pitch,"€93,582",Sports Club,Gaelic Games
Roscommon,St Coman's Handball Club,Refurbishment of 60 x 30 alley,"€13,433",Sports Club,Handball
Roscommon,St Faithleachs GAA Club,St.Faithleachs GAA Pitch Mower,"€25,778",Sports Club,Gaelic Football
Roscommon,St johns Judo Club,Refurb and Revamp Judo Club,"€6,349",Sports Club,Judo
Roscommon,St. Michaels Gaa Club,Develop Training Pitch For all in our community,"€57,199",Sports Club,Gaelic Games
Roscommon,Strokestown GAA Club,Strokestown GAA - Security fencing application,"€41,152",Sports Club,Gaelic Football
Roscommon,Strokestown United Football Club,Development of All Weather Sports Area,"€55,377",Sports Club,Soccer
Roscommon,Tisrara Community Sports Park Club,Upgrade facilities at Tisrara Community Park,"€55,000",Community Group,Hurling
Roscommon,Tremane Hurling Club,Development of training facilities,"€15,000",Sports Club,Hurling
Roscommon,Western Gaels GAA Club,Western Gaels GAA Club Training Facilities upgrade,"€33,500",Sports Club,Gaelic Games
Sligo,Ballinalack Community Park Ltd.,Ballinalack Community Park Improvements 2017,"€59,960",Community Group,Gaelic Games
Sligo,Ballygawley Celtic FC,New Astroturf pitch with lighting and fencing,"€113,396",Sports Club,Soccer
Sligo,ballygawley community park,Clubhouse with community room and dressing rooms,"€135,000",Community Group,Multi-sport
Sligo,"Ballymote Golf & Country Club Coop Society
Ltd",Ballymote Golf and Country Club Co-Op Society Ltd,"€117,563",Community Group,Golf
Sligo,Castleconnor G.A.A Club,Upgrading Our Facilities At Castleconnor GAA Club,"€54,000",Sports Club,Gaelic Games
Sligo,Collooney Handball Club,Renovation of existing old 60 x 30 Handball Court,"€26,984",Sports Club,Handball
Sligo,COOLERA/STRANDHILL GAA,Coolera Strandhill GAA Club. New Club House,"€139,671",Sports Club,Gaelic Games
Sligo,County Sligo Swimming Club,Non-personal sports equipment for swim training,"€3,971",Sports Club,Swimming
Sligo,Cumann na mBunscol,Cumann na mBunscol Sports Equipment,"€150,000",School (primary or second level),Gaelic Games
Sligo,"Cumann Naomh Mhuire T/A St. Mary's GAA
Club",Upgrade of Facilities at Kent Park Sligo,"€83,499",Sports Club,Gaelic Football
Sligo,Easkey Community Council Limited,Gym Equipment,"€10,808",Community Group,Multi-sport
Sligo,Eastern Harps GAA Club,Eastern Harps Dressing Room Project - Phase 2,"€112,778",Sports Club,Gaelic Games
Sligo,Enniscrone Golf Club,Development of Practise/Driving Range,"€25,000",Sports Club,Golf
Sligo,Enniscrone Leisure Ltd,Upgrade Studio Sports hall,"€66,000",Community Group,Multi-sport
Sligo,Kilglass Enniscrone Utd Football Club,Purchase of Grass Mower,"€15,707",Sports Club,Soccer
Sligo,"Mayo,Sligo & Leitrim E.T.B.",A synthetic grass multi-sport training pitch,"€150,000",Education & Training Board,Multi-sport
Sligo,Mullaghmore Sailing Centre ltd.,Sailing boatsRescue boat enginesClub Refurb.,"€25,758",Sports Club,Sailing
Sligo,"North West Sea Kayaking Association
(NWSKA)",NWSKA Sea Kayaking Equipment for New Members,"€6,300",Sports Club,Canoeing / Kayaking
Sligo,Owenmore Gaels GAA,Floodlights,"€128,000",Sports Club,Gaelic Games
Sligo,Oxfield Sports Centre Ltd,Oxfield Phase 2 Dressing Rooms Project,"€75,000",Sports Centre,Multi-sport
Sligo,Riverstown Community Park,Soccer Pitch Surface Upgrade and Renovation,"€7,000",Community Group,Multi-sport
Sligo,Sligo All Stars Basketball Club,Basketball Court refurbishment and sport equipment,"€149,700",Sports Club,Basketball
Sligo,Sligo County Board,Sligo GAA Centre of Excellence,"€19,544",Sports Club,Gaelic Games
Sligo,Sligo County Council,Caltragh - MUGA Project,"€34,526",Local Authority,Multi-sport
Sligo,Sligo County Council,Cleveragh Regional Park Tennis Court / MUGA Pitch,"€64,631",Local Authority,Multi-sport
Sligo,Sligo County Council,Jogging and cycle ways Cleveragh Regional Park,"€85,500",Local Authority,Multi-sport
Sligo,Sligo County Council,Jogging and Cycle ways Fairgreen Park,"€51,712",Local Authority,Multi-sport
Sligo,Sligo Rugby Football Club,Re-development of Clubhouse facilities,"€97,892",Sports Club,Rugby
Sligo,"Sligo Sport and Recreation Partnership
Company Limited by Guarantee",Tandem Bikes Sligo,"€17,500",Local Sports Partnership,Multi-sport
Sligo,Sligo Yacht Club Ltd,"Try A Sail' and Inclusion for All, Project","€20,500",Sports Club,Sailing
Sligo,South Sligo Athletic Club,South Sligo AC,"€14,986",Sports Club,Athletics
Sligo,South Sligo Community Park Ltd,South Sligo Community Park Security Fencing,"€30,000",Community Group,Athletics
Sligo,St Farnans GAA Club,St Farnan's GAA Club Spectator Fence & Scoreboard,"€23,136",Sports Club,Gaelic Games
Sligo,St Johns Community Development Association,Artificial sports pitch and multi-use games area,"€93,685",Community Group,Multi-sport
Sligo,ST MICHAEL'S GAA CLUB,Grass Maintenance and Defibrillator Facilities,"€21,250",Sports Club,Gaelic Football
Sligo,St Molaise Gaels GAA Club,Redevelopment of main playing pitch.,"€142,500",Sports Club,Gaelic Football
Sligo,Strandhill Community Park Ltd,Strandhill Community Park Outdoor Gym walkway,"€85,814",Community Group,Soccer
Sligo,Strandhill Golf Club Ltd Co Sligo,Strandhill Golf Club Amenity Development,"€80,031",Sports Club,Golf
Sligo,Tireragh Athletics Club,New Sports Equipment/Upgrade of Existing Equipment,"€3,650",Sports Club,Athletics
Sligo,Tourlestrane GAA Clu,Facilities at Training Pitch/Upgrade Main Pitch,"€125,000",Sports Club,Gaelic Games
Sligo,Tubbercurry GAA Club,Upgrade of Tubbercurry GAA Grounds and Facilities,"€140,000",Sports Club,Multi-sport
Tipperary,araglen pony club,Araglen Pony Club Facilities Improvements,"€19,133",Sports Club,Equestrian Sports
Tipperary,Ardfinnan GAA Club,Ardfinnan GAA Club Development,"€76,180",Sports Club,Gaelic Games
Tipperary,Ardfinnann Canoe Club,Kayak and canoe equipment,"€29,363",Sports Club,Canoeing / Kayaking
Tipperary,Ballina GAA Club,Gym Equipment,"€19,079",Sports Club,Gaelic Games
Tipperary,Ballylooby/Castlegrace Gaa Club,Ball Wall,"€27,412",Sports Club,Gaelic Games
Tipperary,Ballymackey FC. LTD,"club house,dressing rooms and toilets","€150,000",Sports Club,Soccer
Tipperary,Ballyskenagh/ Killavilla GAA Club,Ballyskenagh/ Killavilla Running Track,"€48,280",Sports Club,Gaelic Games
Tipperary,Boherlahan Dualla Gaa Club,Synthetic Floodlit Pitch & Develop New Grass Pitch,"€150,000",Sports Club,Gaelic Games
Tipperary,Borrisokane G.A.A. Club,Borrisokane G.A.A. Co. Tipperary,"€33,279",Sports Club,Gaelic Games
Tipperary,Borrisoleigh Gaa Club,Borrisoleigh GAA Sports Complex,"€125,000",Sports Club,Gaelic Games
Tipperary,Cahir GAA,Installation of Floodlights in GAA Duneske Pitch,"€150,000",Sports Club,Gaelic Games
Tipperary,Cahir Park Golf Club Ltd,Cahir Park Development Plan 2017,"€135,157",Sports Club,Golf
Tipperary,"Canon Hayes Community Recreation Centre
Ltd.",Resurfacing tennis courts/update gym equipment,"€88,321",Community Group,Multi-sport
Tipperary,Cappawhite GAA Club,"Cappawhite GAA Club, Hurling Wall","€49,398",Sports Club,Gaelic Games
Tipperary,"Carrick Swan Hurling Football and Camogie
Club",Carrick Swan New Field Development,"€150,000",Sports Club,Gaelic Games
Tipperary,Carrick-on-Suir Handball Club,Reroof alley and replace back wall with glass,"€46,042",Sports Club,Handball
Tipperary,Carrig & Riverstown GAA Club,Carrig & Riverstown GAA Club Facility Upgrade,"€60,000",Sports Club,Hurling
Tipperary,Cashel handball club,Phase 2 - Handball Facility Masterplan,"€190,285",Community Group,Handball
Tipperary,Clonmel Celtic Football Club,Replacement of All Weather Surface,"€57,312",Sports Club,Soccer
Tipperary,Clonmel Commercials Gaelic Football club,Clonmel Sportsfield Development Grant,"€65,165",Sports Club,Gaelic Football
Tipperary,Clonmel Rugby Club,"Pitch drainage, Disabled Toilets,Med.&Train. Equip","€150,000",Sports Club,Rugby
Tipperary,Clonoulty Rossmore GAA Club,GAA Pitch Drainage Programme,"€100,000",Sports Club,Hurling
Tipperary,Cloughjordan FC,Cloughjordan FC Upgrade of Equipment,"€6,504",Sports Club,Soccer
Tipperary,County Tipperary Lawn Tennis Club,"Refurbisment of clubhouse, heating system + Courts","€22,145",Sports Club,Tennis
Tipperary,Cullen Lattin AFC,Drainage and Sanding of Cullen-Lattin AFC Pitches,"€67,210",Sports Club,Soccer
Tipperary,Donohill Development Council Ltd,Dressing Rooms and Multi Purpose Fitness Area,"€91,000",Community Group,Multi-sport
Tipperary,Drom & Inch Gaa Club,Drom & Inch Community/GAA Astro Turf Development.,"€47,500",Sports Club,Gaelic Games
Tipperary,Durlas Og,Ride on Grass Mower for cutting pitches.,"€12,000",Sports Club,Gaelic Games
Tipperary,Eire Og Annacarty/Donohill GAA Club,Dressing Room & Defibrillators,"€60,000",Sports Club,Gaelic Games
Tipperary,Fethard GAA Club,Refurbisment of handball court and tennis courts,"€70,000",Sports Club,Gaelic Games
Tipperary,Galtee Rovers St Pecaun's GAA Club,"All Weather Surface, Walking Track and Fencing","€55,006",Sports Club,Gaelic Games
Tipperary,Gortnahoe/Glengoole GAA Club,GAA Field & Community Walking Track Development,"€102,025",Sports Club,Gaelic Games
Tipperary,Gurteen College,Upgrade Equestrian Indoor Arena,"€30,403",Third level college,Equestrian Sports
Tipperary,Hillview (Clonmel) Sports Club,Upgrade of facilities in Hillview Sports Club,"€120,000",Sports Club,Tennis
Tipperary,Holycross Football Club,Develop two football pitches,"€91,898",Sports Club,Soccer
Tipperary,Holycross-Ballycahill GAA Club,John Doyle Centre,"€110,000",Sports Centre,Gaelic Games
Tipperary,Irish Wheelchair Association-Sport,Wheelchair Basketball Roscrea,"€7,124",National Governing Body of Sport,Wheelchair Sport
Tipperary,Kildangan GAA Club,Kiladangan Community Centre phase 2,"€100,000",Sports Club,Gaelic Games
Tipperary,Kilfeacle Community Association,Tennis Dome and Auxiliary Works,"€112,542",Sports Club,Tennis
Tipperary,KILLENAULE GAA CLUB,"Rewiring Sports Hall, 2 Pitch Floodlights","€25,000",Sports Club,Gaelic Games
Tipperary,Kilsheelan Kilcash GAA,Kilsheelan Kilcash GAA field developement,"€150,000",Sports Club,Gaelic Games
Tipperary,Knock GAA,Ride on Lawnmower and Strimmer for Grounds Keeping,"€9,400",Sports Club,Hurling
Tipperary,Knockavilla Donaskeigh Kickhams GAA Club,Ballstop nets and poles,"€6,000",Sports Club,Gaelic Games
Tipperary,Knockshegowna GAA Club,"Refurbishment of dressing rooms, showers & toilets","€7,388",Sports Club,Gaelic Games
Tipperary,KPLAN Community Centre Ltd,Provide Showers/Toilets and Touchlines,"€36,466",Community Group,Multi-sport
Tipperary,Lahorna Handball Club,Lahorna Handball Club Extension,"€106,179",Sports Club,Handball
Tipperary,LATTIN LAWN TENNIS CLUB,Lattin Lawn Tennis Club Refurbishment of courts,"€60,000",Sports Club,Tennis
Tipperary,Longhouse Committee,Pitch Development,"€12,500",Community Group,Multi-sport
Tipperary,Lough Derg Sub Aqua Club,Lough Derg Sub Aqua Club - Boat application,"€76,673",Sports Club,Diving/Snorkelling
Tipperary,Lough Derg Yacht Club,School sailing and access4all programme,"€10,000",Sports Club,Sailing
Tipperary,Moneygall GAA,Moneygall GAA new playing field development,"€133,870",Sports Club,Gaelic Games
Tipperary,Moycarkey Borris GAA Club,Moycarkey Borris GAA Club Enhancements 17,"€40,000",Sports Club,Gaelic Games
Tipperary,Moyle Rovers GAA Club,Exterior track and floor in hall of Complex,"€37,917",Sports Club,Gaelic Games
Tipperary,Moyne Athletic Club,Erecting Infield Fencing/Building Storage Shed,"€23,700",Sports Club,Athletics
Tipperary,"Moyne/Templetuohy Hurling and Football GAA
Club",All weather surface plus mower purchase,"€55,648",Sports Club,Gaelic Games
Tipperary,Mullinahone Boxing Club,Gym Equipment,"€5,700",Sports Club,Boxing
Tipperary,Nenagh Lawn Tennis Club,Nenagh Tennis Club Development Project,"€148,627",Sports Club,Tennis
Tipperary,Nenagh Olympic Athletic Club,Nenagh Olympic Expansion and Refurbishment 2017,"€199,559",Sports Club,Athletics
Tipperary,New Inn Community Centre,"Build w/c area incl. D/A, Showers, Dressing Rooms","€108,062",Community Group,Multi-sport
Tipperary,Newport G.A.A. club,Fenced astro turf area and lit jogging track,"€102,857",Sports Club,Gaelic Games
Tipperary,OLD BRIDGE FOOTBALL CLUB,SECURITY FENCING INSTALLATION,"€21,875",Sports Club,Soccer
Tipperary,Peake Villa FC,Peake Villa FC - Tower Grounds Thurles,"€150,000",Sports Club,Soccer
Tipperary,Portroe Camogie Club,Ball-stopping NetsFirst aid.Training gear.,"€16,463",Sports Club,Camogie
Tipperary,Portroe GAA,Netting Replacement,"€22,975",Sports Club,Gaelic Games
Tipperary,Presentation Secondary School,All Weather Artificial Pitch Development PCT CNHC,"€101,390",School (primary or second level),Hockey
Tipperary,Rearcross Football Club,Re-surface All Weather Playing Area.,"€22,282",Sports Club,Soccer
Tipperary,Roscrea Tennis Club,Roscrea Tennis Club Development,"€19,750",Sports Club,Tennis
Tipperary,"Rosegreen Development Association Company
Limited by Guarantee",Natural grass pitches & security fencing,"€150,000",Community Group,Multi-sport
Tipperary,Rosegreen GAA,Purchase on New Grass Mover,"€23,500",Sports Club,Gaelic Games
Tipperary,Sean Kelly Sports Centre,Internal refurbishment of Sean Kelly Sports Centre,"€149,625",Sports Centre,Swimming
Tipperary,Sean Treacys GAA Club,"Astro turf playing area, fencing & mower","€76,580",Sports Club,Gaelic Games
Tipperary,Silvermines GAA Club,Upgrading of facilities at Dolla GAA Grounds,"€147,000",Sports Club,Gaelic Games
Tipperary,Silvermines Ladies Gaelic Football,Gym Equipment,"€10,242",Sports Club,Ladies Gaelic Football
Tipperary,St Ailbhe's Amateur boxing association,Gym Equipment (New and Upgrading),"€3,420",Sports Club,Boxing
Tipperary,St John the Baptist BNS,Erection of Ball Netting in pitch and mesh fencing,"€17,409",School (primary or second level),Gaelic Games
Tipperary,St Patrick's Gaa Club,Construction of Hurling Wall at Anner Park Cloneen,"€12,226",Sports Club,Gaelic Games
Tipperary,Templederry Kenyons Gaa Club,Templederry GAA Dressing Room Extension,"€49,753",Sports Club,Gaelic Games
Tipperary,Templemore Badminton Club Ltd,Templemore Badminton Club New Row Hall Upgrade,"€43,000",Sports Club,Badminton
Tipperary,Templemore Golf Club,Purchase of Machinery/Equipment for Golf Club,"€47,845",Sports Club,Golf
Tipperary,Templemore Ladies Football Club,Development of Ladies Football Pitch,"€20,563",Sports Club,Ladies Gaelic Football
Tipperary,Three Drives Family Resource Centre,Three Drives After School club,"€1,680",Community Group,Soccer
Tipperary,Thurles Crokes A.C,Sports Equiptment,"€5,000",Sports Club,Athletics
Tipperary,Thurles Golf Club Ltd,Upgrade of Machinery & Equipment at Thurles GC,"€90,763",Sports Club,Golf
Tipperary,Thurles Rugby Football Club,Refurbishment of Changing Rooms & Clubhouse,"€141,622",Sports Club,Rugby
Tipperary,Thurles Sarsfield GAA Club,Thurles Sarsfields GAA Playing Pitch,"€119,971",Sports Club,Gaelic Games
Tipperary,Tigersharks Swimming Club,Purchase of swimming equipment.,€830,Sports Club,Swimming
Tipperary,Tipperary County Board GAA,Semple Stadium Centre of Excellence,"€200,000",Sports Club,Gaelic Games
Tipperary,Tipperary County Council,River Suir Outdoor Community Sports Hub,"€11,002",Local Authority,Multi-sport
Tipperary,Tipperary Education and Training Board,Coláiste Phobal Roscrea _Sports Field Fencing,"€81,853",Education & Training Board,Gaelic Games
Tipperary,Tipperary Education and Training Board,Resurfacing of All Weather Pitch _ Nenagh College,"€123,045",Education & Training Board,Gaelic Games
Tipperary,Tipperary Golf Club,"Tipperary Golf ClubRathanny, Tipperary Town","€40,000",Sports Club,Golf
Tipperary,Tipperary Hills Pitch & Putt Club,Course Maintenance equipment,"€25,000",Sports Club,Pitch and Putt
Tipperary,Tipperary Town Football Club,Soccer Pitch Drainage,"€25,000",Sports Club,Soccer
Tipperary,Two Mile Borris St Kevins FC,Two Mile Borris St Kevins FC Walkway,"€66,949",Sports Club,Soccer
Tipperary,Wilderness Rovers Football Club,Redevelopment of facilities - Wilderness Rovers FC,"€141,779",Sports Club,Soccer
Waterford,8th Tramore Scouts,Renovation of Scout Hall for 8th Tramore Scouts,"€24,600",Scout Troop,Multi-sport
Waterford,Abbeyside Scouts (Waterford 4th),Abbeyside Scout Den Refurbishment Phase 1,"€21,941",Scout Troop,Multi-sport
Waterford,Ballinroad Soccer Club,Security Fencing,"€19,786",Sports Club,Soccer
Waterford,Ballyduff Lower GAA Club,"Ball Wall, Astroturf, Lighting & Siteworks Project","€85,000",Sports Club,Gaelic Games
Waterford,Ballyduff Soccer Club,Main pitch (full size playing pitch) drainage,"€34,586",Sports Club,Soccer
Waterford,Ballyduff Upper GAA Club,Upgrade of Dressing/ShowerRoom & Training Facility,"€25,000",Sports Club,Gaelic Games
Waterford,Ballygunner GAA Club,Community Walking Track,"€25,075",Sports Club,Hurling
Waterford,Ballysaggart GAA Club,Ballysaggart GAA Hall & ancillary developments,"€150,000",Sports Club,Gaelic Games
Waterford,Brideview Utd AFC,Playing Field Upgrade and Supply Of Generator,"€30,000",Sports Club,Soccer
Waterford,Butlerstown GAA Club,Purchase of a new Lawn Mower,"€7,983",Sports Club,Gaelic Games
Waterford,"Cappoquin Community Development Company
Ltd",Gymnasium extension at Cappoquin Community Centre,"€75,396",Community Group,Badminton
Waterford,Cappoquin Rowing Club,support equality safety with upgrade equipment,"€33,454",Sports Club,Rowing
Waterford,"CAPPOQUIN SALMON & TROUT ANGLERS
ASSOCIATION",FLOOD BARRIERS & FITOUT OF BOATHOUSE,"€4,227",Sports Club,Angling/Fishing
Waterford,Carbally Community Development Group,Carbally Community Development project,"€121,336",Community Group,Community Games
Waterford,Celtic Squash Club,Celtic Squash Club Facilities Refurbishment,"€24,923",Sports Club,Squash
Waterford,Childrens Group Link LTD,Refurb of sports facilities & assoc works,"€95,902",Community Group,Multi-sport
Waterford,CLG Micheal McCraith (Tramore GAA Club),"Ground Improvements at Tramore GAA Club, Waterford","€94,987",Sports Club,Gaelic Games
Waterford,Clonea GAA Club,Clonea Gaa field development,"€110,000",Sports Club,Gaelic Games
Waterford,Cumann Lúthchleas Gael na Rinne,Céim 1 de Fhorbairt Páirc Uí Shíothcháin,"€17,759",Sports Club,Gaelic Games
Waterford,Cunnigar Pitch and Putt Club,Purchase of Grass Cutting Equipment,"€15,500",Sports Club,Pitch and Putt
Waterford,De La Salle Hurling & Football Club,"Develop an all weather, floodlit training pitch","€112,000",Sports Club,Gaelic Games
Waterford,Dungarvan Golf Club,"Sanding of Playing Surface, Purchase of Tractor","€42,055",Sports Club,Golf
Waterford,Dungarvan Gymnastics Club,Tumbling Track & Landing Area,"€5,571",Sports Club,Gymnastics
Waterford,Dungarvan Rugby Club,Pitch refurbishment,"€38,816",Sports Club,Rugby
Waterford,Dungarvan United AFC,"Running track, training areas and dressing rooms","€138,690",Sports Club,Soccer
Waterford,Dunhill GAA/Sports Centre,Gym Equipment,"€15,612",Sports Centre,Multi-sport
Waterford,Fenor GAA,"Safety, Surfacing & Showers","€9,470",Sports Club,Hurling
Waterford,FINISK VALLEY ATHLETICS CLUB,Finisk Valley Athletics Club,"€3,500",Sports Club,Athletics
Waterford,Ganbaru Jiu Jitsu Academy,"Trainimg Ring and Traingin equipment, pads etc.","€9,000",Sports Club,Martial Arts
Waterford,Gaultier GAA Club,Floodlit astro turf training pitch,"€69,136",Sports Club,Gaelic Games
Waterford,John Mitchells GAA (Waterford),John Mitchells Field Development,"€17,299",Sports Club,Gaelic Games
Waterford,Kilbarry Gymnastics Club,Upgrading and renewal of equipment at KGA,"€6,000",Sports Club,Gymnastics
Waterford,Kilmacthomas GAA Club,Upgrading Field Facilities & Security.,€79,Sports Club,Gaelic Football
Waterford,KILOTTERAN RIDING CLUB (A.I.R.C),"Dressage, Showjumping and X Country Equipment.","€4,600",Sports Club,Equestrian Sports
Waterford,Kilrossanty GAA Club,"Astroturf pitch, Hurling wall & Fencing","€107,996",Sports Club,Gaelic Games
Waterford,Mount Sion GAA/Social Club,Mount Sion Hurling and Football Club,"€10,000",Sports Club,Gaelic Games
Waterford,Park Rangers FC,Park Rangers Soccer for All Clubhouse Extension,"€141,296",Sports Club,Soccer
Waterford,Pat Rockett Martial Arts Academy,"Sports equipment,and storage","€18,938",Sports Club,Martial Arts
Waterford,Portlaw GAA Club,Portlaw GAA Dressing Room Facilities,"€83,000",Sports Club,Gaelic Games
Waterford,Rathgormack GAA Club,Rathgormack GAA Club upgrading of floodlights,"€13,754",Sports Club,Gaelic Games
Waterford,Roanmore GAA\Social & Sports Centre,Roanmore GAA Club Gym Extension,"€81,500",Sports Club,Gaelic Games
Waterford,Saviours Crystal Boxing Club,Extension for dressing rooms,"€69,500",Sports Club,Boxing
Waterford,Splashworld Sharks Swimming Club,Swim Training Equipment,"€8,957",Sports Club,Swimming
Waterford,St Anne's Waterford Tennis Club,St-Anne's - Phase 1 of 3 Redevelopment.,"€150,000",Sports Club,Tennis
Waterford,Swimworld Waterford (Leisure) Ltd,Waterford Regional Sports Centre,"€199,932",Sports Centre,Multi-sport
Waterford,The Shadows Hockey Club,The Shadows Recruitment/Learn2Skate Program '17-18,"€3,416",Sports Club,Hockey
Waterford,Tramore Boxing Club,Boxing for All - Gym Equipment Update/Upgrade,"€9,000",Sports Club,Boxing
